total,amt1,amt2
32.58,32.58,0
32.68,32.68,0
32.7,17.7,15
32.72,32.72,0
32.9,32.9,0
32.98,32.98,0
32.99,32.99,0
33.26,32.26,1
33.32,33.32,0
33.33,33.33,0
33.58,15.17,18.41
33.6,33.6,0
33.62,33.62,0
33.7,32.2,1.5
33.82,33.82,0
33.87,33.87,0
34.21,34.21,0
34.21,34.21,0
34.27,34.27,0
34.3,34.3,0
34.39,19.42,14.97
34.4,34.4,0
34.41,34.41,0
34.41,34.41,0
34.5,34.5,0
34.51,32.44,2.07
34.51,34.51,0
34.51,34.51,0
34.53,34.53,0
34.58,34.58,0
34.6,34.6,0
34.65,34.65,0
34.67,34.67,0
34.78,34.78,0
34.92,34.92,0
34.92,34.92,0
34.98,34.98,0
35.01,35.01,0
35.02,35.02,0
35.05,35.05,0
35.1,32.1,3
35.11,35.11,0
35.12,34.12,1
35.16,35.16,0
35.18,35.18,0
35.24,35.24,0
35.38,35.38,0
35.42,35.42,0
35.46,35.46,0
35.53,35.53,0
35.57,35.57,0
35.65,35.65,0
35.7,35.7,0
35.74,35.74,0
35.8,35.8,0
35.86,35.86,0
35.89,33.53,2.36
35.94,35.94,0
35.95,35.06,0.89
35.97,35.97,0
36,36,0
36,36,0
36.03,35.05,0.98
36.03,36.03,0
36.07,36.07,0
36.17,36.17,0
36.23,36.23,0
36.23,36.23,0
36.23,36.23,0
36.25,36.25,0
36.34,36.34,0
36.35,36.12,0.23
36.42,35.73,0.69
36.46,36.46,0
36.52,36.52,0
36.55,36.55,0
36.59,36.59,0
36.71,36.71,0
36.84,36.84,0
36.91,36.91,0
36.94,36.94,0
36.95,36.95,0
37,37,0
37.04,37.04,0
37.08,28.08,9
37.08,37.08,0
37.12,37.12,0
37.12,37.12,0
37.17,19.34,17.83
37.47,37.47,0
37.62,37.62,0
37.65,19.65,18
37.68,37.68,0
37.7,37.7,0
37.72,37.72,0
37.76,37.26,0.5
37.84,37.84,0
37.87,37.87,0
37.92,37.92,0
37.99,37.99,0
38,38,0
38.04,38.04,0
38.06,38.06,0
38.1,38.1,0
38.16,38.16,0
38.16,38.16,0
38.17,38.17,0
38.18,38.18,0
38.19,38.19,0
38.28,18.28,20
38.31,38.31,0
38.32,38.32,0
38.32,38.32,0
38.39,38.39,0
38.42,38.42,0
38.5,38.5,0
38.54,38.54,0
38.58,38.58,0
38.67,38.67,0
38.73,38.73,0
38.75,38.75,0
38.78,37.78,1
38.78,38.78,0
38.79,38.79,0
38.8,38.8,0
38.88,38.88,0
39.18,39.18,0
39.24,39.24,0
39.28,39.28,0
39.31,39.31,0
39.34,39.34,0
39.38,39.38,0
39.38,39.38,0
39.39,39.39,0
39.42,36.42,3
39.48,39.48,0
39.51,18.51,21
39.51,39.51,0
39.54,36.54,3
39.68,39.68,0
39.7,39.7,0
39.74,39.74,0
39.74,39.74,0
39.75,39.75,0
39.82,39.82,0
39.89,33.89,6
39.89,33.89,6
39.92,36.92,3
39.93,39.93,0
40,40,0
40,40,0
40.15,24.15,16
40.21,40.21,0
40.23,39.92,0.31
40.24,40.24,0
40.25,39.25,1
40.25,39.25,1
40.33,40.33,0
40.37,40.37,0
40.37,40.37,0
40.37,40.37,0
40.4,40.4,0
40.42,40.42,0
40.46,34.46,6
40.48,28.48,12
40.5,34.18,6.32
40.61,40.61,0
40.78,37.78,3
40.81,40.81,0
40.85,34.4,6.45
40.92,40.92,0
41,41,0
41,41,0
41.02,41.02,0
41.02,41.02,0
41.12,41.12,0
41.17,30.29,10.88
41.24,41.24,0
41.24,41.24,0
41.25,41.25,0
41.27,41.27,0
41.34,41.34,0
41.4,41.4,0
41.41,41.41,0
41.46,39.47,1.99
41.48,41.48,0
41.49,41.49,0
41.5,41.5,0
41.55,41.55,0
41.57,39.57,2
41.59,29.59,12
41.59,41.59,0
41.64,41.64,0
41.74,41.74,0
41.88,39.88,2
41.91,41.91,0
42.01,42.01,0
42.03,42.03,0
42.19,42.19,0
42.3,42.3,0
42.4,42.4,0
42.67,38.7,3.97
42.68,42.68,0
42.73,42.73,0
42.75,42.75,0
42.78,42.78,0
42.79,36.79,6
42.95,23.81,19.14
42.95,42.95,0
42.97,40.97,2
42.97,40.97,2
42.97,40.97,2
43,43,0
43.08,43.08,0
43.14,43.14,0
43.2,43.2,0
43.23,40.68,2.55
43.24,43.24,0
43.29,34.29,9
43.32,27.32,16
43.46,32.46,11
43.47,30.84,12.63
43.47,43.47,0
43.49,43.49,0
43.49,43.49,0
43.5,43.5,0
43.5,43.5,0
43.5,43.5,0
43.52,43.52,0
43.53,43.53,0
43.56,43.56,0
43.64,33.14,10.5
43.64,43.64,0
43.67,43.67,0
43.68,43.68,0
43.73,43.73,0
43.78,43.78,0
43.82,34.82,9
43.85,43.85,0
43.86,43.86,0
43.93,40.73,3.2
44,44,0
44.01,44.01,0
44.06,44.06,0
44.16,30.72,13.44
44.32,44.32,0
44.32,44.32,0
44.32,44.32,0
44.32,44.32,0
44.42,44.42,0
44.42,44.42,0
44.42,44.42,0
44.45,44.45,0
44.46,44.46,0
44.49,44.49,0
44.57,36.05,8.52
44.6,44.6,0
44.64,44.64,0
44.78,44.78,0
44.81,44.81,0
44.83,44.83,0
44.9,44.9,0
44.97,44.97,0
44.99,44.99,0
45.05,45.05,0
45.08,45.08,0
45.1,45.1,0
45.16,45.16,0
45.18,45.18,0
45.25,45.25,0
45.29,45.29,0
45.29,45.29,0
45.36,45.36,0
45.5,45.5,0
45.51,45.51,0
45.52,45.52,0
45.56,45.56,0
45.63,45.63,0
45.63,45.63,0
45.67,45.67,0
45.67,45.67,0
45.69,45.69,0
45.75,45.75,0
45.8,45.8,0
45.86,45.86,0
45.89,45.89,0
45.9,45.9,0
46,46,0
46.04,46.04,0
46.14,46.14,0
46.16,46.16,0
46.22,46.22,0
46.22,46.22,0
46.24,46.24,0
46.32,46.32,0
46.37,46.37,0
46.41,46.41,0
46.47,46.47,0
46.47,46.47,0
46.48,46.48,0
46.56,46.56,0
46.58,46.58,0
46.59,46.59,0
46.6,45.96,0.64
46.62,46.62,0
46.65,46.65,0
46.65,46.65,0
46.71,46.71,0
46.71,46.71,0
46.76,43.76,3
46.77,46.77,0
46.83,29.83,17
46.87,46.87,0
46.87,46.87,0
46.89,46.89,0
46.99,46.99,0
47.02,47.02,0
47.03,47.03,0
47.07,35.22,11.85
47.1,47.1,0
47.16,47.16,0
47.18,47.18,0
47.2,47.2,0
47.22,46.41,0.81
47.23,47.23,0
47.23,47.23,0
47.26,47.26,0
47.42,44.42,3
47.43,36.93,10.5
47.51,45.92,1.59
47.61,41.59,6.02
47.64,42.64,5
47.7,47.7,0
47.72,25.24,22.48
47.75,47.75,0
47.76,47.76,0
47.79,47.79,0
47.81,47.81,0
47.93,47.93,0
47.96,47.96,0
48,48,0
48,48,0
48.03,48.03,0
48.05,48.05,0
48.05,48.05,0
48.07,48.07,0
48.21,43.21,5
48.22,48.17,0.05
48.26,47.26,1
48.26,48.26,0
48.28,48.28,0
48.31,48.31,0
48.35,47.05,1.3
48.37,47.48,0.89
48.45,48.45,0
48.46,42.06,6.4
48.48,47.48,1
48.5,42.33,6.17
48.55,48.55,0
48.57,48.57,0
48.58,48.58,0
48.67,48.67,0
48.67,48.67,0
48.86,48.86,0
48.88,48.88,0
48.94,48.94,0
49,49,0
49.05,49.05,0
49.06,30.06,19
49.07,49.07,0
49.08,49.08,0
49.1,49.1,0
49.12,36.12,13
49.13,49.13,0
49.15,49.15,0
49.15,49.15,0
49.18,49.18,0
49.2,49.2,0
49.21,49.21,0
49.24,49.24,0
49.26,49.26,0
49.3,49.3,0
49.31,49.31,0
49.4,49.4,0
49.4,49.4,0
49.44,41.64,7.8
49.5,49.5,0
49.56,49.56,0
49.56,49.56,0
49.56,49.56,0
49.67,49.67,0
49.68,27.72,21.96
49.71,49.71,0
49.74,49.74,0
49.86,49.86,0
49.88,49.88,0
49.91,15,34.91
49.91,15,34.91
49.91,49.91,0
49.93,49.93,0
49.94,49.94,0
49.95,36.08,13.87
49.97,49.97,0
50,50,0
50.02,50.02,0
50.09,50.09,0
50.09,50.09,0
50.22,50.22,0
50.22,50.22,0
50.29,50.29,0
50.31,50.31,0
50.36,50.36,0
50.36,50.36,0
50.4,50.4,0
50.41,44.41,6
50.47,50.47,0
50.5,50.5,0
50.55,50.55,0
50.61,50.61,0
50.62,50.62,0
50.65,50.65,0
50.67,50.67,0
50.72,50.72,0
50.73,50.73,0
50.8,50.8,0
50.93,50.93,0
50.93,50.93,0
50.93,50.93,0
50.96,50.96,0
50.98,50.98,0
51.05,51.05,0
51.08,51.08,0
51.08,51.08,0
51.24,51.24,0
51.28,49.28,2
51.36,51.36,0
51.4,39.4,12
51.4,51.4,0
51.45,51.45,0
51.49,50.98,0.51
51.54,51.54,0
51.55,51.55,0
51.56,51.56,0
51.59,51.59,0
51.71,51.71,0
51.73,51.53,0.2
51.75,51.75,0
51.78,47.78,4
51.81,51.81,0
51.9,51.9,0
51.93,46.28,5.65
51.97,51.97,0
51.98,50.04,1.94
51.98,51.98,0
51.98,51.98,0
52,52,0
52,52,0
52,52,0
52.12,52.12,0
52.15,52.15,0
52.16,52.16,0
52.2,43.2,9
52.26,52.26,0
52.33,52.33,0
52.4,31.4,21
52.52,52.52,0
52.57,52.57,0
52.57,52.57,0
52.68,51.87,0.81
52.69,52.69,0
52.73,52.73,0
52.82,52.82,0
52.82,52.82,0
52.83,52.83,0
52.85,52.85,0
52.85,52.85,0
52.95,52.95,0
52.97,52.97,0
53,53,0
53.01,53.01,0
53.01,53.01,0
53.03,53.03,0
53.05,53.05,0
53.07,53.07,0
53.16,50.16,3
53.17,48.71,4.46
53.22,53.22,0
53.31,53.31,0
53.32,53.32,0
53.36,53.36,0
53.38,19.38,34
53.42,53.42,0
53.43,53.43,0
53.52,52.52,1
53.54,53.54,0
53.55,53.55,0
53.56,53.56,0
53.57,23.13,30.44
53.6,52.75,0.85
53.7,53.7,0
53.75,53.75,0
53.79,43.79,10
53.89,53.89,0
53.91,50.09,3.82
53.98,53.98,0
53.99,53.99,0
54,54,0
54,54,0
54,54,0
54.06,54.06,0
54.08,54.08,0
54.16,54.16,0
54.2,54.2,0
54.22,54.22,0
54.23,54.23,0
54.25,54.25,0
54.27,48.27,6
54.33,54.33,0
54.35,54.35,0
54.35,54.35,0
54.37,54.37,0
54.41,54.41,0
54.43,54.43,0
54.54,54.54,0
54.6,54.6,0
54.61,54.61,0
54.67,54.67,0
54.69,54.69,0
54.75,35.66,19.09
54.77,54.77,0
54.84,54.84,0
54.84,54.84,0
54.91,54.91,0
54.91,54.91,0
54.92,54.92,0
54.96,54.96,0
54.96,54.96,0
54.98,54.98,0
55.02,55.02,0
55.02,55.02,0
55.08,55.08,0
55.12,55.12,0
55.14,55.14,0
55.14,55.14,0
55.16,43.16,12
55.17,44.62,10.55
55.17,55.17,0
55.18,55.18,0
55.2,55.2,0
55.29,55.29,0
55.33,55.33,0
55.35,55.35,0
55.38,55.38,0
55.38,55.38,0
55.41,52.41,3
55.42,55.42,0
55.44,55.44,0
55.45,55.45,0
55.45,55.45,0
